Run,LocalTime,Time,Altitude,Distance,HeartRate,Speed,VerticalSpeed,Cadence
One,2016-10-02 16:23:08,4.53,18,798,124,2.8,-0.03,83
One,2016-10-02 16:23:09,4.55,18,801,124,2.8,-0.03,84
One,2016-10-02 16:23:10,4.57,18,804,124,2.8,-0.03,84
One,2016-10-02 16:23:11,4.58,18,807,124,2.8,-0.03,83
One,2016-10-02 16:23:12,4.60,18,809,125,2.8,-0.03,84
One,2016-10-02 16:23:13,4.62,18,812,125,2.8,-0.03,92
One,2016-10-02 16:23:14,4.63,18,814,125,2.8,-0.03,81
One,2016-10-02 16:23:15,4.65,18,817,125,2.8,-0.05,84
One,2016-10-02 16:23:16,4.67,18,820,125,2.8,-0.05,83
One,2016-10-02 16:23:17,4.68,18,822,126,2.8,-0.05,84
One,2016-10-02 16:23:18,4.70,18,825,127,2.8,-0.05,82
One,2016-10-02 16:23:19,4.72,18,827,128,2.8,-0.05,83
One,2016-10-02 16:23:20,4.73,18,830,129,2.8,-0.05,83
One,2016-10-02 16:23:21,4.75,18,833,129,2.8,-0.05,83
One,2016-10-02 16:23:22,4.77,18,836,129,2.8,-0.05,84
One,2016-10-02 16:23:23,4.78,18,839,129,2.8,-0.03,84
One,2016-10-02 16:23:24,4.80,18,842,129,2.8,-0.03,83
One,2016-10-02 16:23:25,4.82,18,845,129,2.8,-0.03,84
One,2016-10-02 16:23:26,4.83,18,848,129,2.8,-0.03,83
One,2016-10-02 16:23:27,4.85,18,852,128,2.8,-0.03,83
One,2016-10-02 16:23:28,4.87,18,855,128,2.8,-0.03,82
One,2016-10-02 16:23:29,4.88,18,857,128,2.8,-0.03,82
One,2016-10-02 16:23:30,4.90,18,860,128,2.8,-0.03,83
One,2016-10-02 16:23:31,4.92,18,864,128,2.8,-0.03,83
One,2016-10-02 16:23:32,4.93,18,866,129,2.8,-0.01,83
One,2016-10-02 16:23:33,4.95,18,869,129,2.8,-0.01,83
One,2016-10-02 16:23:34,4.97,18,872,129,2.8,-0.01,83
One,2016-10-02 16:23:35,4.98,18,874,130,2.8,-0.01,83
One,2016-10-02 16:23:36,5.00,18,877,130,2.8,-0.01,83
One,2016-10-02 16:23:37,5.02,18,879,131,2.8,-0.01,83
One,2016-10-02 16:23:38,5.03,18,882,132,2.8,0,84
One,2016-10-02 16:23:39,5.05,17,885,132,2.8,0,84
One,2016-10-02 16:23:40,5.07,17,887,132,2.8,0,84
One,2016-10-02 16:23:41,5.08,18,890,131,2.8,0,91
One,2016-10-02 16:23:42,5.10,18,893,131,2.8,0,85
One,2016-10-02 16:23:43,5.12,18,896,132,2.8,0,84
One,2016-10-02 16:23:44,5.13,18,899,133,2.8,0,84
One,2016-10-02 16:23:45,5.15,18,902,133,2.8,0,91
One,2016-10-02 16:23:46,5.17,18,905,133,2.8,0,83
One,2016-10-02 16:23:47,5.18,18,908,134,2.8,0,82
One,2016-10-02 16:23:48,5.20,18,911,133,2.8,0,83
One,2016-10-02 16:23:49,5.22,18,914,133,2.8,0,83
One,2016-10-02 16:23:50,5.23,18,917,133,2.8,0,82
One,2016-10-02 16:23:51,5.25,18,920,133,2.8,0,82
One,2016-10-02 16:23:52,5.27,18,922,134,2.8,0,82
One,2016-10-02 16:23:53,5.28,18,925,134,2.8,0,82
One,2016-10-02 16:23:54,5.30,18,928,134,2.8,0,82
One,2016-10-02 16:23:55,5.32,18,931,134,2.8,0,82
One,2016-10-02 16:23:56,5.33,18,934,134,2.8,0,82
One,2016-10-02 16:23:57,5.35,18,937,134,2.8,0,82
One,2016-10-02 16:23:58,5.37,18,940,134,2.8,0,82
One,2016-10-02 16:23:59,5.38,18,942,134,2.8,0,82
One,2016-10-02 16:24:00,5.40,18,945,134,2.8,0,87
One,2016-10-02 16:24:01,5.42,18,948,134,2.8,0,80
One,2016-10-02 16:24:02,5.43,18,950,134,2.8,0,81
One,2016-10-02 16:24:03,5.45,18,953,134,2.8,0,81
One,2016-10-02 16:24:04,5.47,18,956,133,2.8,0,81
One,2016-10-02 16:24:05,5.48,19,958,133,2.8,0,81
One,2016-10-02 16:24:06,5.50,19,961,132,2.8,0,83
One,2016-10-02 16:24:07,5.52,19,964,132,2.8,0,84
