Employer,CEO,Gender,CEO_Compensation,Median_Worker_Comp,Ratio,Company_Rating,CEO_Compensation_($000)
Walt Disney Co.,Robert A. Iger,male,46497018,79211,587,3.8,4649.7018
Lowe's,Robert A. Niblock,male,14279945,29720,480,3.4,1427.9945
Assurant,Robert B. Pollock,male,11903533,46961,253,3.2,1190.3533
NiSource,"Robert C. Skaggs, Jr.",male,8282039,66500,125,3.9,828.2039
Chesapeake Energy,"Robert D. (""Doug"") Lawler",male,14677377,82297,178,3.7,1467.7377
Time Warner Cable,Robert D. Marcus,male,34615597,55006,629,3.3,3461.5597
Ryder System,Robert E. Sanchez,male,5654252,55702,102,3.1,565.4252
PerkinElmer,Robert F. Friel,male,8934070,89848,99,2.4,893.407
M&T Bank,Robert G. Wilmers,male,4223419,51816,82,3.2,422.3419
NASDAQ,Robert Greifeld,male,12083929,131709,92,3.6,1208.3929
AIG,Robert Herman Benmosche,male,11433372,85216,134,3,1143.3372
Celgene,Robert J. Hugin,male,24236113,117517,206,3.7,2423.6113
News Corp,Robert J. Thomson,male,12466016,78981,158,2.9,1246.6016
Rockwell Collins,Robert K. Ortberg,male,5828786,81536,71,3.5,582.8786
Baxter,"Robert L. Parkinson, Jr.,",male,15304702,82479,186,3.4,1530.4702
Dun & Bradstreet,Robert P. Carrigan,male,4198663,114440,37,3.4,419.8663
Constellation Brands,Robert Sands,male,10410261,100530,104,3.6,1041.0261
Delphi,Rodney O'Neal,male,14874930,91618,162,3.3,1487.493
Murphy Oil,Roger W. Jenkins,male,12778568,44929,284,3,1277.8568
PACCAR,Ronald E. Armstrong,male,6757823,70669,96,2.8,675.7823
Public Storage,"Ronald L. Havner, Jr.",male,9009200,26027,346,3.1,900.92
Staples,Ronald L. Sargent,male,12391537,25407,488,3,1239.1537
John Deere,Samuel R. Allen,male,20273296,74573,272,3.8,2027.3296
General Growth Properties,Sandeep Lakhmi Mathrani,male,4892039,76622,64,3.4,489.2039
SanDisk,Sanjay Mehrotra,male,11498963,130000,88,3.2,1149.8963
